video_id,video_timestamp,video_duration,video_locationcreated,video_diggcount,video_sharecount,video_commentcount,video_playcount,video_description,video_is_ad,video_stickers,author_username,author_name,author_followercount,author_followingcount,author_heartcount,author_videocount,author_diggcount,author_verified
7237924721172466950,2023-05-27T20:04:34,25,JM,723400,49300,30900,7100000,🧸☁️ #doyouknowher #whatwouldshechoose #viral #test #fypシ #trending ,False,,bby.mxrii,🧛🏽‍♀️,,,,,,False
7202327774869130501,2023-02-20T20:50:14,415,FR,10900,1391,324,264500,10 Questions pour tester ton intelligence 🧠 #test #qi #intelligent #2023 #education #psychology #psy #psycho #pourtoi #fypシ #video #tiktok #viral #intelligence #question #piege ,False,,psy_2.0,Psy_2.0🧠,,,,,,False
7155773198712278278,2022-10-18T10:54:48,17,FR,23900,238,1954,1300000,C’est un exemple parmi pleins d’autres ⚠️⚠️ #DidYouYawn #pourtoi #foryou #fypシ #fyp #test #testdegrossesse #action #nopregnant #pasenceinte #nopregnancy #testpourri #defectueux #🤰🏼 ,False,,clotildeuhh,Clotildeuhh,,,,,,False
7244568040384253210,2023-06-14T17:44:07,65,FR,522300,20000,60700,4600000,ES-TU RACISTE ? LE TEST ! #test #astuce #question #racist ,False,,infosmile,INFOSMILE,,,,,,False
7019003835301580037,2021-10-14T21:19:41,56,FR,83400,121,1923,464000,,False,,iamkenzz.2,iamkenzz.2,,,,,,False
7218978639424032006,2023-04-06T18:44:06,60,FR,22900,412,3411,764200,"Réponse à @❀ 𝐿𝑜𝑢𝑖𝑠𝑒 ❀ test de capacite pulmonaire de niveau très difficile. Pas de compétition, chacun des limites. Tu t’arretes si ca ne va pas, hein. Ne me fait pas regretter mon test. ",False,,nurse__ninja,Nurse ninja,,,,,,False
7205658866518854914,2023-03-01T20:16:39,33,KG,1800000,38500,16600,81100000,Lexus LX570 crash test in different speeds #beamng #beamngdrive #crash #lexus #lx570 ,False,,binnievng,binniev,,,,,,False
7225654295679487259,2023-04-24T18:29:09,67,FR,1157,3,10,16300,Je passe le fameux test ✅,False,,clemgot,clément,,,,,,False
7143621324378819845,2022-09-15T16:59:16,34,CA,1600000,83800,84200,32400000,FUN ADHD TEST! #foryou #test #illusion #adhd @cloutatlas @cloutatlas @cloutatlas ,False,,cloutatlas,cloutatlas,,,,,,False
7180397785857019141,2022-12-23T18:30:44,67,CA,1800000,28800,142700,31300000,This is a test to see how fast your visual reflexes are. #foryou #test #reflex #brainteaser #braingames @cloutatlas @cloutatlas @cloutatlas   ,False,,cloutatlas,cloutatlas,,,,,,False
7218596929993788677,2023-04-05T18:02:54,61,FR,392900,795,875,7100000,"Et toi tu aurais testé ma balance, ils etaient tous à 2 doigts de gagner a chaque fois 😂😂 #humour #drole #argent #défi #jeux #lyon #sahaelito  #poids ",False,,sahaelito,Sahaelito,,,,,,False
7235317623884385541,2023-05-20T19:27:43,128,TR,3543,28,57,139400,Gerçekler😅 #nekadar #nekadartestleri #hangisinitercihederdin #hangisinitercihedersin #tiktoktest #testler  ,False,,brunettemodee,brunettemode,,,,,,False
7223345811810307354,2023-04-18T13:11:05,6,FR,23,1,0,1119,#trend#viral#test105questions#troublepsychologique ,False,,justixne78,Justixxne,,,,,,False
7237101846106508571,2023-05-25T14:51:33,113,FR,34700,383,1058,1100000,Are you smarter than average ? Take this IQ test to find out #iq #iqtest #test #quiz #smart #brain #intelligent ,False,,quizwhizcharlie,Charlie,,,,,,False
7234143860765560069,2023-05-17T15:32:54,171,TR,4566,256,44,307600,Yine sinirlenmişim 😅 #nekadar #nekadartestleri #tiktoktest #ayrilirmisinayrilmazmisin #testler  #ilişkitesti ,False,,brunettemodee,brunettemode,,,,,,False
7111021398809791750,2022-06-19T20:34:52,9,FR,539,9,30,9673,💭💭#fyp,False,,ugoomyrr,ugoomyrr,,,,,,False
7114301879798058245,2022-06-28T16:44:51,56,FR,12500,21,113,154400,je tiens a dire que mon tel tiens entre mes deux genoux,False,,mya.rouyer,Mi,,,,,,False
7239465704078986523,2023-05-31T23:44:36,107,FR,510500,20300,7209,4200000,⛔️⚠️ DANS MA BIO VOUS ALLEZ TROUVEZ LE LIENS DE LA LISTE NOIR DES MARQUES QUI TEST ENCORE SUR LES ANIMAUX ⚠️⛔️ [ Aucun animal ne devrait souffrir et mourir au nom de la beauté ] #fypシ #pourtoi #video #viral #youtube ,False,,universalsmovieseries,universalsmovieseries,,,,,,False
7046928946927095046,2021-12-29T02:23:24,22,FR,493600,2010,10300,8000000,Who guess it?#foryou #intuition #intuitiontest #guess #fyp,False,,beckybow777,Beckybow777,,,,,,False
